x,y1,y2
10.0000000000,60.0000000000,0.0000000000
10.0100000000,59.9999500607,0.0000000000
10.0200000000,59.9998004813,0.0000000000
10.0300000000,59.9995516206,0.0000000000
10.0400000000,59.9992038360,0.0000000000
10.0500000000,59.9987574836,0.0000000000
10.0600000000,59.9982129184,0.0000000000
10.0700000000,59.9975704939,0.0000000000
10.0800000000,59.9968305626,0.0000000000
10.0900000000,59.9959934756,0.0000000000
10.1000000000,59.9950595828,0.0000000000
10.1100000000,59.9940292327,0.0000000000
10.1200000000,59.9929027729,0.0000000000
10.1300000000,59.9916805495,0.0000000000
10.1400000000,59.9903629074,0.0000000000
10.1500000000,59.9889501905,0.0000000000
10.1600000000,59.9874427412,0.0000000000
10.1700000000,59.9858409011,0.0000000000
10.1800000000,59.9841450101,0.0000000000
10.1900000000,59.9823554074,0.0000000000
10.2000000000,59.9804724308,0.0000000000
10.2100000000,59.9784964168,0.0000000000
10.2200000000,59.9764277010,0.0000000000
10.2300000000,59.9742666177,0.0000000000
10.2400000000,59.9720135000,0.0000000000
10.2500000000,59.9696686800,0.0000000000
10.2600000000,59.9672324886,0.0000000000
10.2700000000,59.9647052556,0.0000000000
10.2800000000,59.9620873095,0.0000000000
10.2900000000,59.9593789778,0.0000000000
10.3000000000,59.9565805870,0.0000000000
10.3100000000,59.9536924623,0.0000000000
10.3200000000,59.9507149280,0.0000000000
10.3300000000,59.9476483070,0.0000000000
10.3400000000,59.9444929214,0.0000000000
10.3500000000,59.9412490921,0.0000000000
10.3600000000,59.9379171389,0.0000000000
10.3700000000,59.9344973806,0.0000000000
10.3800000000,59.9309901348,0.0000000000
10.3900000000,59.9273957181,0.0000000000
10.4000000000,59.9237144462,0.0000000000
10.4100000000,59.9199466334,0.0000000000
10.4200000000,59.9160925934,0.0000000000
10.4300000000,59.9121526384,0.0000000000
10.4400000000,59.9081270799,0.0000000000
10.4500000000,59.9040162283,0.0000000000
10.4600000000,59.8998203928,0.0000000000
10.4700000000,59.8955398818,0.0000000000
10.4800000000,59.8911750025,0.0000000000
10.4900000000,59.8867260612,0.0000000000
10.5000000000,59.8821933633,0.0000000000
10.5100000000,59.8775772129,0.0000000000
10.5200000000,59.8728779134,0.0000000000
10.5300000000,59.8680957671,0.0000000000
10.5400000000,59.8632310752,0.0000000000
10.5500000000,59.8582841381,0.0000000000
10.5600000000,59.8532552552,0.0000000000
10.5700000000,59.8481447247,0.0000000000
10.5800000000,59.8429528443,0.0000000000
10.5900000000,59.8376799102,0.0000000000
10.6000000000,59.8323262181,0.0000000000
10.6100000000,59.8268920624,0.0000000000
10.6200000000,59.8213777368,0.0000000000
10.6300000000,59.8157835339,0.0000000000
10.6400000000,59.8101097454,0.0000000000
10.6500000000,59.8043566622,0.0000000000
10.6600000000,59.7985245742,0.0000000000
10.6700000000,59.7926137702,0.0000000000
10.6800000000,59.7866245383,0.0000000000
10.6900000000,59.7805571656,0.0000000000
10.7000000000,59.7744119383,0.0000000000
10.7100000000,59.7681891418,0.0000000000
10.7200000000,59.7618890603,0.0000000000
10.7300000000,59.7555119775,0.0000000000
10.7400000000,59.7490581758,0.0000000000
10.7500000000,59.7425279371,0.0000000000
10.7600000000,59.7359215421,0.0000000000
10.7700000000,59.7292392709,0.0000000000
10.7800000000,59.7224814025,0.0000000000
10.7900000000,59.7156482151,0.0000000000
10.8000000000,59.7087399861,0.0000000000
10.8100000000,59.7017569919,0.0000000000
10.8200000000,59.6946995082,0.0000000000
10.8300000000,59.6875678096,0.0000000000
10.8400000000,59.6803621703,0.0000000000
10.8500000000,59.6730828631,0.0000000000
10.8600000000,59.6657301604,0.0000000000
10.8700000000,59.6583043336,0.0000000000
10.8800000000,59.6508056531,0.0000000000
10.8900000000,59.6432343887,0.0000000000
10.9000000000,59.6355908093,0.0000000000
10.9100000000,59.6278751829,0.0000000000
10.9200000000,59.6200877769,0.0000000000
10.9300000000,59.6122288577,0.0000000000
10.9400000000,59.6042986908,0.0000000000
10.9500000000,59.5962975410,0.0000000000
10.9600000000,59.5882256725,0.0000000000
10.9700000000,59.5800833484,0.0000000000
10.9800000000,59.5718708311,0.0000000000
10.9900000000,59.5635883822,0.0000000000
11.0000000000,59.5552362626,0.0000000000
11.0100000000,59.5468147323,0.0000000000
11.0200000000,59.5383240505,0.0000000000
11.0300000000,59.5297644758,0.0000000000
11.0400000000,59.5211362657,0.0000000000
11.0500000000,59.5124396774,0.0000000000
11.0600000000,59.5036749668,0.0000000000
